parcelid xcoord_p ycoord_p sqft_p taz_p block_p hh_p stugrd_p stuhgh_p stuuni_p empedu_p empfoo_p empgov_p empind_p empmed_p empofc_p empret_p empsvc_p empoth_p emptot_p parkdy_p parkhr_p ppricdyp pprichrp
148 2257701.714 322589 2685558 613 6 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
149 2260645.041 308234 5984622 444 6 8 0 0 0 0 0 0 0 0 0 0 3 0 3 0 0 0 0
150 2181255.934 265413 503450 242 0 38 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
151 2185625.212 264648 109253 282 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
152 2187390.958 256681 149459 724 7 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
153 2186602.89 257729 246354 724 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
154 2178183.495 269299 129858 311 3 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
155 2179872.784 267183 83092 242 9 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
156 2179541.846 267414 83176 311 1 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
157 2178732.574 266501 95524 242 6 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
158 2179355.871 266957 103243 242 8 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
159 2174951.478 263108 155402 246 2 0 0 0 0 0 222 0 0 0 4 0 41 0 267 156 156 1000 300
160 2188252.633 263415 109143 284 1 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
161 2175046.607 260303 162656 223 1 0 0 0 0 9 14 0 0 0 40 26 24 27 140 107 0 300 0
162 2172889.809 258155 194436 849 2 34 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0
163 2172822.424 258920 144075 849 5 62 0 0 0 0 0 0 0 0 24 0 0 0 24 0 0 0 0
164 2182528.687 258481 221311 291 2 0 0 0 0 0 0 0 0 0 0 0 3 0 3 0 0 0 0
165 2185982.018 256674 73097 724 9 8 0 0 0 0 0 0 0 0 0 0 0 6 6 0 0 0 0
166 2174534.24 255514 109491 268 3 0 0 0 0 0 0 0 15 0 0 0 5 0 20 0 0 0 0
167 2175738.212 255541 229186 267 2 11 0 0 0 0 0 0 5 0 1 0 3 14 23 0 0 0 0
168 2216200.931 355344 8517732 584 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
169 2220222.518 332667 7878061 591 6 78 0 0 0 0 4 0 0 0 0 0 0 0 4 0 0 0 0
170 2197962.686 267995 981074 897 2 34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
171 2194686.225 262143 819604 335 1 42 0 0 0 0 0 0 0 0 9 0 0 0 9 0 0 0 0
172 2196173.768 262099 1138685 335 0 31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
173 2195929.004 261418 1558124 335 2 44 0 0 0 0 14 0 0 0 0 11 25 0 50 0 0 0 0
174 2199175.462 265343 222881 894 4 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
175 2200208.623 259768 1916917 432 5 108 0 0 0 0 0 0 0 0 6 0 10 0 16 0 0 0 0
176 2196196.126 258850 140384 336 7 7 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0
177 2196259.957 257928 363933 431 5 8 0 0 0 0 0 0 0 9 0 0 0 0 9 0 0 0 0
178 2196962.008 258410 205496 431 7 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
179 2195387.912 254660 133591 449 9 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
180 2201267.797 257409 398546 466 3 18 0 0 0 0 0 0 0 0 0 3 0 0 3 0 0 0 0
181 2201446.646 256677 910216 466 0 40 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0
182 2203024.685 264243 11932969 903 8 174 0 0 0 0 0 0 0 0 12 0 8 0 20 0 0 0 0
183 2200781.071 253392 215147 464 1 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
184 2224418.913 247153 4511052 842 6 56 0 0 0 0 0 0 0 1 0 3 3 0 7 0 0 0 0
185 2236739.826 249908 874834 558 0 23 0 0 0 0 0 0 0 0 0 5 0 0 5 0 0 0 0
186 2226181.518 240619 377490 844 2 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
187 2225750.459 239653 1694670 844 0 56 0 0 0 0 0 0 0 0 4 0 0 0 4 0 0 0 0
188 2234564.465 250875 2842801 558 4 49 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
189 2225246.202 260360 3535550 544 7 65 131 0 0 30 0 0 0 6 0 0 0 0 36 0 0 0 0
190 2228975.303 261895 2252286 545 8 24 0 0 0 0 0 118 12 3 0 3 0 0 136 0 0 0 0
191 2227916.373 240272 1186058 845 9 36 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
192 2242647.432 303668 269260 355 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
193 2242908.274 302469 2223511 355 2 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
194 2246070.256 310974 2381784 350 2 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
195 2254590.98 296205 1179743 609 1 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
196 2266694.749 335596 877908 611 2 0 0 0 0 0 0 0 0 0 0 7 0 0 7 0 0 0 0
197 2229569.61 303951 173176 356 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
198 2234828.991 298236 31266 356 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
199 2251369.344 314559 478650 349 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
200 2246912.131 298158 13479077 565 3 183 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
201 2246240.108 328946 849048 347 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
202 2185549.333 256866 80796 724 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
203 2179256.831 251943 196145 302 2 0 0 0 0 0 0 0 0 0 0 54 0 0 54 0 0 0 0
204 2172140.012 248433 2014982 305 4 18 0 0 0 0 0 0 0 0 0 0 28 0 28 0 0 0 0
205 2179795.894 247528 152875 830 6 0 0 0 0 0 3 0 0 0 0 0 0 0 3 0 0 0 0
206 2189873.887 278763 2205708 340 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
207 2171237.915 248230 374680 305 1 0 334 744 0 125 0 0 0 1 0 0 0 0 126 0 0 0 0
208 2185682.301 257166 83610 724 6 7 0 0 0 0 0 0 3 0 0 0 0 0 3 0 0 0 0
209 2173601.018 251909 755060 271 7 0 0 0 0 0 0 0 77 0 29 19 0 0 125 0 0 0 0
210 2176051.991 254798 62372 267 4 0 0 0 0 0 0 0 0 0 0 4 0 0 4 0 0 0 0
211 2171719.089 251437 408617 304 5 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
212 2188172.519 272977 418276 886 8 0 0 0 0 0 33 0 0 0 0 0 0 0 33 0 0 0 0
213 2174207.709 245901 109744 905 4 32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
214 2174407.591 246394 108615 905 7 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
215 2205725.76 317632 640075 572 4 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
216 2221939.014 314136 8455170 872 5 126 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
217 2204806.026 285220 363311 493 0 10 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0
218 2206636.302 308751 404524 573 0 28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
219 2215570.383 310248 611279 875 3 33 0 0 0 0 0 0 0 0 0 4 0 0 4 0 0 0 0
220 2203309.154 300514 4284013 532 9 95 0 0 0 0 0 0 20 13 0 2 3 8 46 0 0 0 0
221 2201214.68 284862 12410860 494 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
222 2200975.956 252220 212778 464 3 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
223 2201790.25 253675 355362 466 5 19 0 0 0 0 0 0 0 3 0 0 12 0 15 0 0 0 0
224 2206783.932 267861 6217348 904 6 0 0 0 0 4 7 0 260 6 435 50 25 101 888 0 0 0 0
225 2202377.357 256701 322098 857 3 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
226 2207562.688 260227 844000 467 2 0 0 0 0 0 0 0 0 0 30 0 0 0 30 0 0 0 0
227 2209065.237 252524 564425 472 6 3 0 0 0 0 0 0 4 0 0 20 27 0 51 0 0 0 0
228 2193435.341 270938 790379 434 9 59 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
229 2189948.257 262260 479794 734 9 14 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0
230 2190683.443 262752 155721 334 5 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
231 2191615.562 264800 798862 334 4 14 0 0 0 0 0 0 7 63 15 0 7 10 102 0 0 0 0
232 2192327.94 267728 121342 344 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
233 2236335.772 258301 15148661 557 0 452 36 25 0 7 10 0 0 5 158 8 0 7 195 0 0 0 0
234 2241049.703 252258 1400756 604 0 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
235 2240857.413 250936 3062969 604 3 69 0 0 0 0 0 0 0 0 0 0 4 0 4 0 0 0 0
236 2216349.119 270396 314393 470 9 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
237 2228880.858 267618 6063215 540 1 41 0 0 0 0 64 0 18 0 5 65 2 7 161 0 0 0 0
238 2217868.912 270589 576959 492 6 24 0 0 0 0 0 0 0 0 0 0 0 20 20 0 0 0 0
239 2218432.251 263812 2706453 491 2 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
240 2219845.909 260303 486938 488 0 0 0 0 0 0 76 0 9 76 84 22 30 0 297 0 0 0 0
241 2220447.354 261370 363557 486 6 1 0 0 0 0 0 0 0 0 0 0 11 0 11 0 0 0 0
242 2247451.221 313877 653560 349 1 21 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0
243 2244925.981 308065 9082465 350 6 38 0 0 0 0 0 0 0 0 1 2 0 0 3 0 0 0 0
244 2258758.144 267840 401415 131 2 48 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
245 2253772.633 316369 3548989 613 6 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
246 2276321.177 250946 3140307 117 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
247 2209820.496 297371 1300161 533 9 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
248 2210657.414 297480 2488508 533 4 60 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
249 2211661.491 296029 451881 533 5 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
250 2211775.386 292536 21587970 495 2 251 0 0 0 0 0 0 0 0 0 4 3 2 9 0 0 0 0
251 2207931.293 294221 4171882 495 3 59 0 0 0 0 0 0 34 0 1 0 4 0 39 0 0 0 0
252 2195821.25 285569 5953985 684 8 0 0 0 0 0 0 0 25 0 0 0 0 0 25 0 0 0 0
253 2202913.165 294796 26100361 499 5 124 0 21 0 10 30 0 2 11 12 143 108 17 333 0 0 0 0
