ID LINKS XCOORD_P YCOORD_P
18742 2 2170691 178669
18866 2 2171403 179431
18882 2 2172542 180979
18324 2 2170525 177489
18753 2 2173846 178615
18877 2 2172953 181892
18286 1 2177135 177535
17954 1 2178169 181110
17871 3 2173297 190208
17873 3 2175292 190241
17879 3 2175238 189880
17882 3 2174959 189889
18284 3 2176856 193091
18750 2 2176844 187161
18751 3 2175904 189480
18180 3 2173527 186967
17876 3 2172363 189900
18878 2 2174217 188165
18879 2 2174537 188404
18618 3 2174564 188423
17889 3 2175378 189138
17875 2 2176324 190241
18880 2 2173374 185568
18885 2 2173239 184351
17916 1 2174191 185948
17917 3 2173432 185972
18744 3 2173497 186424
18745 1 2174516 186307
18181 2 2173555 187167
17858 3 2171506 191838
17848 3 2171827 192819
17849 1 2172579 192846
18722 3 2171889 192947
18723 1 2170843 193638
17857 1 2171732 191799
17890 1 2174625 189147
17872 1 2173223 191285
18619 1 2173918 188524
17883 1 2174655 189905
18388 3 2178334 186607
18752 2 2176818 187033
18389 1 2178330 187212
18749 1 2178342 185847
17497 3 2177576 192670
17852 2 2177095 192870
18886 2 2177420 192276
18183 3 2177037 191301
17859 3 2177249 191845
18182 1 2176281 191274
18881 2 2176286 190109
17874 3 2176357 190233
18884 2 2176073 189733
18876 2 2175653 189304
17860 1 2176646 191903
18335 1 2176853 194004
17498 3 2178020 193143
21295 1 2178678 193086
21293 3 2178884 193120
21301 2 2178623 193555
21294 3 2178824 193636
21304 3 2178499 193750
21303 3 2178950 193965
18073 2 2178292 193356
21296 1 2177809 193695
21300 3 2178560 193533
18074 2 2178384 193426
21362 2 2178519 193514
21317 2 2178146 193945
21318 2 2178158 193992
21319 3 2178203 193996
21310 3 2179478 193128
21302 2 2178936 193914
21311 1 2179458 193433
18109 3 2187902 174486
18110 1 2186781 174948
18765 1 2185635 172868
18767 1 2188157 173302
18527 1 2189497 180690
18128 3 2182814 190338
17940 3 2184369 183794
17929 3 2185474 185356
18748 2 2182614 189033
18795 2 2186060 192946
17919 3 2181421 185556
17921 1 2180957 185793
18559 1 2181364 187106
17866 3 2181065 191108
18126 1 2180870 188671
18747 2 2182498 189229
17842 3 2183218 193770
17853 1 2183214 193126
17846 1 2183753 193727
17930 1 2185294 185704
20339 3 2189380 191537
18796 2 2186318 192952
20340 1 2189379 191584
18045 1 2192679 158298
18031 3 2192715 161819
18086 1 2200252 157443
18043 3 2201368 159167
18042 3 2200161 160999
18090 3 2197638 161001
18207 1 2190783 158291
18039 3 2191561 160354
18626 3 2199926 159574
18627 1 2199190 159648
18628 3 2198521 158333
18629 1 2197984 158984
18779 1 2192979 158315
18780 3 2193302 159686
18084 3 2199224 158320
18783 1 2202473 156241
18044 3 2201738 159199
18786 2 2198896 167181
18788 3 2208451 158532
18789 1 2208503 159468
18846 2 2207245 159818
18083 1 2198528 155136
18050 3 2196325 158326
18049 1 2196315 156998
18085 1 2195055 158327
17478 3 2192663 164334
18008 1 2195460 169579
18091 4 2194694 161841
18027 4 2194713 164517
18093 3 2194435 165494
18094 3 2197068 167112
18098 1 2195485 168374
18099 3 2194202 168470
18230 1 2197892 165011
18231 1 2196371 163292
18229 3 2194702 163519
18774 3 2192023 164365
18770 2 2191311 167141
18660 3 2190907 165012
18784 1 2195689 162176
17477 3 2192376 163673
18026 3 2194167 163661
17475 3 2191883 161805
18387 2 2191796 161408
18773 2 2192053 164365
18040 2 2191470 160371
18771 1 2191431 160881
17476 3 2192043 162534
18781 2 2193339 159923
18782 2 2193367 159792
18032 3 2193400 161835
18034 3 2193967 161839
18033 1 2193436 162534
18035 1 2193971 162189
18092 3 2194704 163698
17484 3 2193725 167156
