,RespondentID,Route ,Route - In/Out Bound,Left From,Left Other,Left St No,Left St Name,Left Nearest Intersection,Left Name,Final Destination,Destination-Other,Dest St No,Dest St Name,Dest Nearest Intersection ,Dest Name,Zipcode,confidence_left,lat_left,lng_left,confidence_dest,lat_dest,lng_dest,Route,Geocode_result_left,Geocode_result_dest,Left_Add_EDIT,lat_left_EDIT,lng_left_EDIT,Dest_Add_EDIT,lat_dest_EDIT,lng_dest_EDIT
82,4241866769,4- Hamilton Place,In Bound,Home,,6220,Shallowford,,,Work,,,Brainerd,Germantown,,37421,8,35.0509591,-85.1793643,9,35.0281489,-85.2668509,4- Hamilton Place,pass,pass,,,,,,
83,4241876131,4- Hamilton Place,Out Bound,Home,,402,W 40th St,,38th St,Work,,,Lifestyle,,I-75,37410,9,35.0059126,-85.3157826,9,34.996109,-85.2066473,4- Hamilton Place,pass,pass,,,,,,
84,4241880518,4- Hamilton Place,Out Bound,Home,,25,North Germantown,Germantown & Brainerd Rd,,Work,,2014,Hamilton Blvd,Hamilton Place Mall,,37411,9,35.0254494,-85.246069,9,34.996109,-85.2066473,4- Hamilton Place,pass,pass,,,,,,
85,4241889569,4- Hamilton Place,Out Bound,Home,,1904,Mulberry St,23rd & Main,,Work,,2296,Gunbarrel ,Shallowford & Gunbarrel Rd,,37404,9,35.0211588,-85.2803104,9,35.0398011,-85.1496986,4- Hamilton Place,pass,pass,,,,,,
86,4241897060,4- Hamilton Place,In Bound,Home,,600,W 13th St,12th & Cherry,,Work,,,,,Hamilton Place Mall,37402,9,35.0421115,-85.316243,9,35.0336912,-85.1585253,4- Hamilton Place,pass,pass,,,,,,
87,4241901938,4- Hamilton Place,In Bound,Home,,119,Hollyberry Ln,,,Personal errands,,,Downtown,,,37411,9,35.0201393,-85.23807,9,35.0456297,-85.3096801,4- Hamilton Place,pass,pass,,,,,,
88,4241908474,4- Hamilton Place,In Bound,Home,,,Hickory,,,Home,,,Brainerd,,,37404,7,35.0455922,-85.2727415,7,35.0200743,-85.2402333,4- Hamilton Place,no_pass,no_pass,,,,,,
89,4241912403,4- Hamilton Place,Out Bound,Other,,,Downtown,,,Work,,,Eastgate Town Center,,,,9,35.0456297,-85.3096801,9,35.0084556,-85.2151665,4- Hamilton Place,pass,pass,,,,,,
90,4241916987,4- Hamilton Place,Out Bound,Work,,225,E 8th St,MLK & University,Champy's,Home,,,Hemphill Ave,Talley Dr & Brainerd Rd,,37411,9,35.046911,-85.3062403,9,35.0217425,-85.2414719,4- Hamilton Place,pass,pass,,,,,,
91,4241920969,4- Hamilton Place,Out Bound,Home,,,38th St,,,Work,,,Hamilton Place,,,37410,7,35.0085549,-85.3188073,9,35.0336912,-85.1585253,4- Hamilton Place,no_pass,pass,,,,,,
92,4241925134,4- Hamilton Place,Out Bound,Home,,,Dodson Ave,Stuart,,Personal errands,,,Brainerd Rd,,Walmart,37406,9,35.0718804,-85.2503169,9,35.0053727,-85.1491517,4- Hamilton Place,pass,pass,,,,,,
93,4241930037,4- Hamilton Place,Out Bound,Home,,442,Cherokee Blvd,Brainerd & Walmart,Walmart,Store,,,,Brainerd,Walmart,37405,9,35.0665828,-85.3150152,9,35.0085358,-85.2051089,4- Hamilton Place,pass,pass,,,,,,
94,4241934345,4- Hamilton Place,In Bound,School (K-12),,,,,,Home,,,,,,37404,,,,,,,4- Hamilton Place,insufficient_data,insufficient_data,,,,,,
95,4241939489,4- Hamilton Place,In Bound,Home,,2508,Long St,,Market St,Personal errands,,,Brainerd Rd,,Human Resources,37408,9,35.0268986,-85.3132784,9,35.0486275,-85.3078249,4- Hamilton Place,pass,pass,,,,,,
96,4241948933,4- Hamilton Place,Out Bound,Home,,4941,Jeffery Ln,Woodland & Jeffery,,Personal errands,,,Brainerd Rd,,Career Center,37410,9,34.9895755,-85.3059564,9,35.006848,-85.213485,4- Hamilton Place,pass,pass,,,,,,
97,4241954967,4- Hamilton Place,In Bound,Home,,1232,N Concord,E Brainerd & Concord,Take Express,Work,,714,Cherry St,7th & Cherry,,37421,9,35.0106911,-85.1757972,9,35.0479719,-85.3081689,4- Hamilton Place,pass,pass,,,,,,
98,4241959733,4- Hamilton Place,Out Bound,Home,,3929,Manor,Brainerd & Manor,,School (K-12),,,,,Eastgate Mall Chattanooga Charter,37411,9,35.0201747,-85.2383199,9,35.0084556,-85.2151665,4- Hamilton Place,pass,pass,,,,,,
99,4240288238,10- East Chattanooga,In Bound,Medical/hospital,,,Dodson Ave,,,Home,,,Lee Highway,,,37408,6,35.0612102,-85.256152,1,35.0175697,-85.2061066,10- East Chattanooga,no_pass,no_pass,,,,,,
100,4240297682,10- East Chattanooga,Out Bound,Home,,2907,Curtis,Stuart,Doddson,University / College,,59,McKee Road,Apison Pike & Old Lee Highway,Southern Adventest University,37404,9,35.0715792,-85.252458,9,35.0482015,-85.0519507,10- East Chattanooga,pass,pass,,,,,,
101,4240312354,10- East Chattanooga,In Bound,Home,,1109,N Chamberlin,,,,,,,,,,9,35.0472962,-85.2592102,,,,10- East Chattanooga,pass,insufficient_data,,,,,,
102,4240322203,10- East Chattanooga,In Bound,Medical/hospital,,,Eastside,,,Personal errands,,,Downtown,,,37411,9,35.0230979,-85.2761037,9,35.0456297,-85.3096801,10- East Chattanooga,pass,pass,,,,,,
103,4240381897,10- East Chattanooga,In Bound,Home,,503,Fisher Ave,Glenwood & Tilo,Memorial Hospital,Work,,,Gunbarrel,Hamilton Place,,37421,9,35.0414352,-85.2603854,9,35.0456297,-85.3096801,10- East Chattanooga,pass,pass,,,,,,
104,4240388552,10- East Chattanooga,Out Bound,Home,,,3rd Street,,McDonalds,,,,,,Hardy Elementary,37406,9,35.0467725,-85.2869882,9,35.0620637,-85.2574248,10- East Chattanooga,pass,pass,,,,,,
105,4240405371,10- East Chattanooga,In Bound,Home,,2005,Elma St,Glenwood,,Personal errands,,,St. Elmo,D.K.,,37406,7,35.0410502,-85.259456,9,35.0620637,-85.2574248,10- East Chattanooga,no_pass,pass,,,,,,
106,4240421508,10- East Chattanooga,Out Bound,Work,,Whitehall,3rd Street,,Central,Home,,2714,Curtis St,,,37406,9,35.0478943,-85.2912028,9,35.0697515,-85.2529028,10- East Chattanooga,pass,pass,,,,,,
107,4240430943,10- East Chattanooga,In Bound,Home,,2401,N Chamberlain Ave,,,Other,Downtown,,,,,37406,9,35.0640596,-85.2499914,,,,10- East Chattanooga,pass,insufficient_data,,,,,,
108,4240443784,10- East Chattanooga,In Bound,Other,,,Laura St,,,Home,,202,Snow St,,,37406,7,35.050167,-85.2621914,8,35.0710307,-85.3107878,10- East Chattanooga,no_pass,pass,,,,,,
109,4240464967,10- East Chattanooga,In Bound,Home,,1010,Mission Ave,Jct 24 & Glennwood,Glenwood & Mission Ave,University / College,,,,3rd St & Palmetto,,37406,9,35.0451846,-85.255831,9,35.0487401,-85.2931317,10- East Chattanooga,pass,pass,,,,,,
110,4240472061,10- East Chattanooga,Out Bound,Personal errands,,,,,McDonalds,Home,,2000,Wilson St,,,37406,9,35.0467725,-85.2869882,9,35.0518514,-85.2647243,10- East Chattanooga,pass,pass,,,,,,
111,4240479629,10- East Chattanooga,In Bound,Home,,2205,Kirby Ave,Kelly St & Kirby Ave,,University / College,,4501,Amnicola Highway,,Chattanooga State,37404,9,35.0301976,-85.2720653,9,35.1003674,-85.2375518,10- East Chattanooga,pass,pass,,,,,,
